nb_calls,year,month,day,weekday,hour,priority
0,2016,11,28,Monday,0,0
0,2016,11,28,Monday,1,0
0,2016,11,28,Monday,2,0
0,2016,11,28,Monday,3,0
0,2016,11,28,Monday,4,0
0,2016,11,28,Monday,5,0
0,2016,11,28,Monday,6,0
0,2016,11,28,Monday,7,0
0,2016,11,28,Monday,8,0
0,2016,11,28,Monday,9,0
0,2016,11,28,Monday,10,0
0,2016,11,28,Monday,11,0
0,2016,11,28,Monday,12,0
0,2016,11,28,Monday,13,0
0,2016,11,28,Monday,14,0
0,2016,11,28,Monday,15,0
0,2016,11,28,Monday,16,0
0,2016,11,28,Monday,17,0
0,2016,11,28,Monday,18,0
0,2016,11,28,Monday,19,0
0,2016,11,28,Monday,20,0
0,2016,11,28,Monday,21,0
0,2016,11,28,Monday,22,0
0,2016,11,28,Monday,23,0
0,2016,11,29,Tuesday,0,0
0,2016,11,29,Tuesday,1,0
0,2016,11,29,Tuesday,2,0
0,2016,11,29,Tuesday,3,0
0,2016,11,29,Tuesday,4,0
0,2016,11,29,Tuesday,5,0
0,2016,11,29,Tuesday,6,0
0,2016,11,29,Tuesday,7,0
0,2016,11,29,Tuesday,8,0
0,2016,11,29,Tuesday,9,0
0,2016,11,29,Tuesday,10,0
0,2016,11,29,Tuesday,11,0
0,2016,11,29,Tuesday,12,0
0,2016,11,29,Tuesday,13,0
0,2016,11,29,Tuesday,14,0
0,2016,11,29,Tuesday,15,0
0,2016,11,29,Tuesday,16,0
0,2016,11,29,Tuesday,17,0
0,2016,11,29,Tuesday,18,0
0,2016,11,29,Tuesday,19,0
0,2016,11,29,Tuesday,20,0
0,2016,11,29,Tuesday,21,0
0,2016,11,29,Tuesday,22,0
0,2016,11,29,Tuesday,23,0
0,2016,11,30,Wednesday,0,0
0,2016,11,30,Wednesday,1,0
0,2016,11,30,Wednesday,2,0
0,2016,11,30,Wednesday,3,0
0,2016,11,30,Wednesday,4,0
0,2016,11,30,Wednesday,5,0
0,2016,11,30,Wednesday,6,0
0,2016,11,30,Wednesday,7,0
0,2016,11,30,Wednesday,8,0
0,2016,11,30,Wednesday,9,0
0,2016,11,30,Wednesday,10,0
0,2016,11,30,Wednesday,11,0
0,2016,11,30,Wednesday,12,0
0,2016,11,30,Wednesday,13,0
0,2016,11,30,Wednesday,14,0
0,2016,11,30,Wednesday,15,0
0,2016,11,30,Wednesday,16,0
0,2016,11,30,Wednesday,17,0
0,2016,11,30,Wednesday,18,0
0,2016,11,30,Wednesday,19,0
0,2016,11,30,Wednesday,20,0
0,2016,11,30,Wednesday,21,0
0,2016,11,30,Wednesday,22,0
0,2016,11,30,Wednesday,23,0
0,2016,12,1,Thursday,0,0
0,2016,12,1,Thursday,1,0
0,2016,12,1,Thursday,2,0
0,2016,12,1,Thursday,3,0
0,2016,12,1,Thursday,4,0
0,2016,12,1,Thursday,5,0
0,2016,12,1,Thursday,6,0
0,2016,12,1,Thursday,7,0
0,2016,12,1,Thursday,8,0
0,2016,12,1,Thursday,9,0
0,2016,12,1,Thursday,10,0
0,2016,12,1,Thursday,11,0
0,2016,12,1,Thursday,12,0
0,2016,12,1,Thursday,13,0
0,2016,12,1,Thursday,14,0
0,2016,12,1,Thursday,15,0
0,2016,12,1,Thursday,16,0
0,2016,12,1,Thursday,17,0
0,2016,12,1,Thursday,18,0
0,2016,12,1,Thursday,19,0
0,2016,12,1,Thursday,20,0
0,2016,12,1,Thursday,21,0
0,2016,12,1,Thursday,22,0
0,2016,12,1,Thursday,23,0
0,2016,12,2,Friday,0,0
0,2016,12,2,Friday,1,0
0,2016,12,2,Friday,2,0
0,2016,12,2,Friday,3,0
0,2016,12,2,Friday,4,0
0,2016,12,2,Friday,5,0
0,2016,12,2,Friday,6,0
0,2016,12,2,Friday,7,0
0,2016,12,2,Friday,8,0
0,2016,12,2,Friday,9,0
0,2016,12,2,Friday,10,0
0,2016,12,2,Friday,11,0
0,2016,12,2,Friday,12,0
0,2016,12,2,Friday,13,0
0,2016,12,2,Friday,14,0
0,2016,12,2,Friday,15,0
0,2016,12,2,Friday,16,0
0,2016,12,2,Friday,17,0
0,2016,12,2,Friday,18,0
0,2016,12,2,Friday,19,0
0,2016,12,2,Friday,20,0
0,2016,12,2,Friday,21,0
0,2016,12,2,Friday,22,0
0,2016,12,2,Friday,23,0
0,2016,12,3,Saturday,0,0
0,2016,12,3,Saturday,1,0
0,2016,12,3,Saturday,2,0
0,2016,12,3,Saturday,3,0
0,2016,12,3,Saturday,4,0
0,2016,12,3,Saturday,5,0
0,2016,12,3,Saturday,6,0
0,2016,12,3,Saturday,7,0
0,2016,12,3,Saturday,8,0
0,2016,12,3,Saturday,9,0
0,2016,12,3,Saturday,10,0
0,2016,12,3,Saturday,11,0
0,2016,12,3,Saturday,12,0
0,2016,12,3,Saturday,13,0
0,2016,12,3,Saturday,14,0
0,2016,12,3,Saturday,15,0
0,2016,12,3,Saturday,16,0
0,2016,12,3,Saturday,17,0
0,2016,12,3,Saturday,18,0
0,2016,12,3,Saturday,19,0
0,2016,12,3,Saturday,20,0
0,2016,12,3,Saturday,21,0
0,2016,12,3,Saturday,22,0
0,2016,12,3,Saturday,23,0
0,2016,12,4,Sunday,0,0
0,2016,12,4,Sunday,1,0
0,2016,12,4,Sunday,2,0
0,2016,12,4,Sunday,3,0
0,2016,12,4,Sunday,4,0
0,2016,12,4,Sunday,5,0
